ES,GD
[4.63464118e+08],697727197363.1831
[2.28355011e+08],695644468383.2726
[1.30373211e+08],693566405627.4557
[1.30373211e+08],691493002120.9316
[99799499.89676319],689424250894.1161
[83632628.4472317],687360144982.6418
[83632628.4472317],685300677427.3575
[52952887.16662301],683245841274.3312
[45059018.70922954],681195629574.8433
[40426109.85051007],679150035385.3936
[40426109.85051007],677109051767.6973
[40426109.85051007],675072671788.6892
[40426109.85051007],673040888520.5157
[40426109.85051007],671013695040.5455
[15742366.26111683],668991084431.3585
[3270558.40402282],666973049780.7557
[3270558.40402282],664959584181.7542
[3270558.40402282],662950680732.5823
[1907883.54493956],660946332536.692
[1907883.54493956],658946532702.7495
[302963.35992945],656951274344.6368
[302963.35992945],654960550581.453
[233949.97366223],652974354537.5126
[184011.20772824],650992679342.3514
[124465.64645963],649015518130.7166
[123285.30901154],647042864042.5731
[123285.30901154],645074710223.1056
[123285.30901154],643111049822.7112
[123285.30901154],641151875997.0076
[123285.30901154],639197181906.8252
[123285.30901154],637246960718.2152
[123285.30901154],635301205602.4429
[123285.30901154],633359909735.9904
[123285.30901154],631423066300.5573
[123285.30901154],629490668483.0592
[123285.30901154],627562709475.6287
[123285.30901154],625639182475.6158
[123285.30901154],623720080685.5837
[122987.36820872],621805397313.3184
[122987.36820872],619895125571.8163
[122987.36820872],617989258679.2948
[122987.36820872],616087789859.1854
[122987.36820872],614190712340.1378
[122987.36820872],612298019356.0183
[122660.66552627],610409704145.9088
[122660.66552627],608525759954.1091
[121611.55125228],606646180030.1332
[121611.55125228],604770957628.7155
[121611.55125228],602900086009.8047
[121611.55125228],601033558438.5659
[121611.55125228],599171368185.3822
[121611.55125228],597313508525.8527
[121611.55125228],595459972740.793
[119569.41619237],593610754116.235
[119569.41619237],591765845943.4294
[119569.41619237],589925241518.8416
[119569.41619237],588088934144.1525
[118569.7562206],586256917126.2634
[118569.7562206],584429183777.2878
[118569.7562206],582605727414.5608
[118569.7562206],580786541360.6301
[109921.07478685],578971618943.2606
[108528.26412388],577160953495.4355
[108528.26412388],575354538355.3556
[108528.26412388],573552366866.433
[108528.26412388],571754432377.304
[108528.26412388],569960728241.8152
[108528.26412388],568171247819.034
[108528.26412388],566385984473.2412
[107254.57371309],564604931573.9376
[107254.57371309],562828082495.837
[107254.57371309],561055430618.8741
[107254.57371309],559286969328.1956
[107254.57371309],557522692014.1693
[107254.57371309],555762592072.3767
[107254.57371309],554006662903.6171
[107254.57371309],552254897913.9061
[107254.57371309],550507290514.4768
[107254.57371309],548763834121.7769
[107254.57371309],547024522157.4739
[107254.57371309],545289348048.4485
[107254.57371309],543558305226.80054
[107254.57371309],541831387129.8463
[104593.68238367],540108587200.118
[104593.68238367],538389898885.36414
[104593.68238367],536675315638.54944
[104593.68238367],534964830917.85895
[104593.68238367],533258438186.69037
[103098.05032216],531556130913.65845
[103098.05032216],529857902572.59735
[103098.05032216],528163746642.5548
[103098.05032216],526473656607.79834
[103098.05032216],524787625957.80804
[101513.68261279],523105648187.2843
[101513.68261279],521427716796.1419
[101513.68261279],519753825289.5144
[101513.68261279],518083967177.7514
[101513.68261279],516418135976.41565
[101513.68261279],514756325206.29224
[101513.68261279],513098528393.38007
[101513.68261279],511444739068.89453
[101513.68261279],509794950769.2662
[101513.68261279],508149157036.14594
[101513.68261279],506507351416.39935
[101513.68261279],504869527462.10876
[101513.68261279],503235678730.5723
[101513.68261279],501605798784.30695
[101513.68261279],499979881191.044
[101513.68261279],498357919523.7339
[101513.68261279],496739907360.54
[101513.68261279],495125838284.8473
[101513.68261279],493515705885.25226
[101513.68261279],491909503755.572
[101513.68261279],490307225494.8397
[101513.68261279],488708864707.30286
[101513.68261279],487114415002.4276
[101513.68261279],485523869994.8968
[101513.68261279],483937223304.6085
[101513.68261279],482354468556.67957
[101513.68261279],480775599381.4406
[101513.68261279],479200609414.44226
[101513.68261279],477629492296.4498
[101513.68261279],476062241673.445
[101513.68261279],474498851196.6274
[101513.68261279],472939314522.41315
[101513.68261279],471383625312.4329
[101513.68261279],469831777233.5372
[101513.68261279],468283763957.7903
[101073.70507963],466739579162.47614
[101073.70507963],465199216530.09283
[101073.70507963],463662669748.35645
[100125.84066954],462129932510.199
[100125.84066954],460600998513.76843
[100125.84066954],459075861462.43176
[97033.78303411],457554515064.7706
[97033.78303411],456036953034.5846
[97033.78303411],454523169090.88904
[97033.78303411],453013156957.91626
[97033.78303411],451506910365.115
[97033.78303411],450004423047.15137
[97033.78303411],448505688743.90784
[97033.78303411],447010701200.4815
[95315.42084307],445519454167.1906
[95315.42084307],444031941399.56635
[95312.84449221],442548156658.3565
[94756.10964552],441068093709.5275
[94756.10964552],439591746324.262
[92895.09855923],438119108278.959
[92895.09855923],436650173355.2348
[92895.09855923],435184935339.9198
[92895.09855923],433723388025.0639
[92895.09855923],432265525207.93243
[92300.53327626],430811340691.00854
[92300.53327626],429360828281.99023
[92300.53327626],427913981793.79333
[91801.98848874],426470795044.54974
[90948.35965277],425031261857.60986
[90948.35965277],423595376061.5377
